account_id,customer_id,branch_id,account_number,account_type,currency,balance,account_status,opened_date
ACC0000043,CUST095160,BR0290,162937522512,Savings,INR,2260600.51,CLOSED,2017-08-10
ACC0000044,CUST036266,BR0038,166703882343,Savings,INR,137121.19,CLOSED,2014-08-25
ACC0000045,CUST025575,BR0224,146150366534,Current,INR,1773940.56,DORMANT,2020-03-23
ACC0000046,CUST092597,BR0133,833796849392,Current,INR,141978.89,ACTIVE,2014-10-25
ACC0000047,CUST005646,BR0419,819481788382,Current,INR,576133.59,ACTIVE,2026-03-14
ACC0000048,CUST048335,BR0323,824006597592,Current,INR,3453647.07,CLOSED,2025-01-22
ACC0000049,CUST000115,BR0276,833404583219,Savings,INR,2296429.46,ACTIVE,2016-09-29
ACC0000050,CUST078121,BR0146,757663004255,Current,INR,2041496.55,DORMANT,2018-09-13
ACC0000051,CUST054968,BR0372,857501497577,Savings,INR,1679867.67,CLOSED,2024-09-14
ACC0000052,CUST058339,BR0258,896655821615,Savings,INR,880281.72,ACTIVE,2026-02-27
ACC0000053,CUST086184,BR0470,860801880096,Current,INR,2251444.37,CLOSED,2023-01-02
ACC0000054,CUST015155,BR0232,582101046451,Current,INR,3895809.47,CLOSED,2021-07-12
ACC0000055,CUST010289,BR0082,778841876101,Current,INR,4689282.0,ACTIVE,2012-10-15
ACC0000056,CUST074872,BR0314,406073419234,Savings,INR,1568429.47,DORMANT,2015-06-13
ACC0000057,CUST083776,BR0122,226835886923,Current,INR,98368.74,DORMANT,2026-01-18
ACC0000058,CUST009439,BR0406,788027101947,Savings,INR,3744756.53,DORMANT,2022-06-02
ACC0000059,CUST053600,BR0486,455560696305,Current,INR,2528668.75,ACTIVE,2025-12-09
ACC0000060,CUST093400,BR0142,562342392670,Current,INR,3848402.49,CLOSED,2018-09-05
ACC0000061,CUST054598,BR0322,849079862821,Current,INR,3177807.94,CLOSED,2025-07-16
ACC0000062,CUST058395,BR0029,933940434635,Current,INR,1093109.8,ACTIVE,2026-04-15
ACC0000063,CUST088955,BR0007,336588201424,Current,INR,4146809.03,CLOSED,2016-01-01
ACC0000064,CUST020385,BR0151,354085058757,Current,INR,4958213.93,ACTIVE,2014-05-28
ACC0000065,CUST069849,BR0003,255004759031,Savings,INR,1390754.09,CLOSED,2014-12-13
ACC0000066,CUST075566,BR0174,642690502879,Savings,INR,4828221.09,CLOSED,2021-08-26
ACC0000067,CUST073468,BR0084,905681118955,Savings,INR,1463994.69,CLOSED,2020-02-18
ACC0000068,CUST071639,BR0432,315698585570,Current,INR,3862712.9,CLOSED,2017-06-27
ACC0000069,CUST090308,BR0008,221489921572,Savings,INR,1138193.51,DORMANT,2014-06-16
ACC0000070,CUST093213,BR0207,633347070375,Savings,INR,1974861.98,ACTIVE,2014-02-24
ACC0000071,CUST062671,BR0440,617125107153,Savings,INR,4502348.87,DORMANT,2017-02-06
ACC0000072,CUST039702,BR0051,584913974706,Current,INR,1670344.76,DORMANT,2011-09-10
ACC0000073,CUST084296,BR0284,257240141061,Savings,INR,4508177.26,CLOSED,2016-02-13
ACC0000074,CUST006758,BR0115,184109583232,Current,INR,986184.48,ACTIVE,2014-10-19
ACC0000075,CUST074864,BR0064,981496132835,Savings,INR,1303728.91,ACTIVE,2024-11-23
ACC0000076,CUST047890,BR0445,497482296388,Current,INR,2322410.8,DORMANT,2021-04-03
ACC0000077,CUST062230,BR0386,256759264006,Savings,INR,1771518.82,CLOSED,2023-12-21
ACC0000078,CUST066036,BR0496,497395349842,Savings,INR,687934.67,CLOSED,2012-10-31
ACC0000079,CUST011579,BR0293,804030523286,Savings,INR,78834.45,ACTIVE,2016-10-26
ACC0000080,CUST014226,BR0152,792642332647,Current,INR,2808655.58,CLOSED,2021-12-19
ACC0000081,CUST049814,BR0304,104525173582,Savings,INR,2315552.26,DORMANT,2025-02-04
ACC0000082,CUST094028,BR0215,666805324183,Current,INR,3839722.32,ACTIVE,2020-05-28
ACC0000083,CUST001566,BR0095,667986509058,Current,INR,401905.5,ACTIVE,2017-08-15
ACC0000084,CUST064744,BR0194,693722966310,Current,INR,539035.04,ACTIVE,2020-09-22
ACC0000085,CUST087242,BR0491,397263972303,Current,INR,3472820.88,CLOSED,2025-01-29
ACC0000086,CUST060027,BR0265,810383904205,Current,INR,1901998.05,DORMANT,2013-10-01
ACC0000087,CUST004078,BR0459,565984030616,Current,INR,3138813.29,DORMANT,2013-02-22
ACC0000088,CUST060757,BR0396,549253878390,Current,INR,789772.81,DORMANT,2023-10-28
ACC0000089,CUST047189,BR0102,549054524271,Current,INR,254005.7,DORMANT,2012-09-10
ACC0000090,CUST060930,BR0135,968923675283,Savings,INR,4290676.5,ACTIVE,2026-04-01
ACC0000091,CUST045383,BR0192,654335833644,Savings,INR,2187524.24,CLOSED,2013-08-03
ACC0000092,CUST080798,BR0290,163359978614,Savings,INR,4992360.03,DORMANT,2022-07-08
ACC0000093,CUST077769,BR0056,215786926990,Savings,INR,4647798.42,ACTIVE,2022-05-15
ACC0000094,CUST031096,BR0401,667971561653,Savings,INR,1278357.35,DORMANT,2017-02-18
ACC0000095,CUST035622,BR0272,586291467462,Current,INR,1163250.63,CLOSED,2013-11-28
ACC0000096,CUST038889,BR0061,472050025158,Savings,INR,3884281.96,DORMANT,2013-01-11
ACC0000097,CUST049997,BR0197,378796980391,Current,INR,3449284.35,CLOSED,2017-04-06
ACC0000098,CUST080913,BR0496,804587839842,Savings,INR,3455509.09,ACTIVE,2023-01-11
ACC0000099,CUST047729,BR0350,190353066066,Current,INR,1561801.93,CLOSED,2020-02-25
ACC0000100,CUST013407,BR0421,509691401316,Savings,INR,271250.57,CLOSED,2012-06-15
ACC0000101,CUST082550,BR0394,801908409889,Savings,INR,3355535.8,CLOSED,2019-08-28
ACC0000102,CUST090173,BR0369,204654111318,Savings,INR,341325.32,CLOSED,2020-09-27
ACC0000103,CUST033428,BR0064,654270024924,Savings,INR,4412968.44,DORMANT,2016-03-16
ACC0000104,CUST027728,BR0292,815273694968,Savings,INR,3908875.92,ACTIVE,2015-09-19
ACC0000105,CUST073049,BR0292,560912327352,Current,INR,370403.55,DORMANT,2024-04-03
ACC0000106,CUST077972,BR0060,585625109510,Current,INR,1541681.43,ACTIVE,2015-11-10
ACC0000107,CUST086879,BR0471,898962531123,Current,INR,4214952.27,CLOSED,2018-12-01
ACC0000108,CUST049695,BR0280,429385719229,Savings,INR,1254808.86,CLOSED,2017-06-21
ACC0000109,CUST073062,BR0445,461141954598,Savings,INR,4785109.97,DORMANT,2019-05-04
ACC0000110,CUST007894,BR0386,913821867281,Savings,INR,4437562.09,ACTIVE,2017-05-24
ACC0000111,CUST090624,BR0212,540187762116,Current,INR,3755551.0,ACTIVE,2018-06-30
ACC0000112,CUST059299,BR0056,389684581727,Current,INR,3425433.66,CLOSED,2022-05-04
ACC0000113,CUST092096,BR0201,463541661208,Current,INR,1660472.55,ACTIVE,2020-07-02
ACC0000114,CUST072423,BR0033,577131681747,Savings,INR,1279343.71,DORMANT,2013-10-09
ACC0000115,CUST054407,BR0091,552176141653,Savings,INR,2085728.26,DORMANT,2020-10-26
ACC0000116,CUST026255,BR0072,925658032578,Savings,INR,3236040.38,ACTIVE,2021-01-01
ACC0000117,CUST068112,BR0296,463201729633,Current,INR,1703545.44,CLOSED,2016-04-27
ACC0000118,CUST056388,BR0217,985741213647,Current,INR,1973019.25,DORMANT,2021-10-26
ACC0000119,CUST072076,BR0089,244005351229,Savings,INR,4544536.29,CLOSED,2015-07-05
ACC0000120,CUST077591,BR0323,630952304469,Current,INR,4355428.54,DORMANT,2014-01-04
ACC0000121,CUST011055,BR0446,596667510291,Current,INR,4683560.58,ACTIVE,2017-03-01
ACC0000122,CUST034398,BR0477,527659947888,Current,INR,1176771.35,ACTIVE,2022-08-29
ACC0000123,CUST024628,BR0035,842699059155,Savings,INR,4725357.48,CLOSED,2026-04-04
ACC0000124,CUST067156,BR0178,392841920395,Savings,INR,1057289.93,CLOSED,2022-06-12
ACC0000125,CUST098607,BR0002,956966066686,Savings,INR,2164464.61,CLOSED,2017-10-18
ACC0000126,CUST083420,BR0136,968757723725,Savings,INR,2397158.05,CLOSED,2024-11-16
ACC0000127,CUST051319,BR0350,454642606004,Savings,INR,268499.75,DORMANT,2013-04-04
ACC0000128,CUST093005,BR0217,492075864439,Savings,INR,919639.81,CLOSED,2012-05-12
ACC0000129,CUST033457,BR0136,825396465750,Savings,INR,485210.11,ACTIVE,2021-02-06
ACC0000130,CUST010128,BR0483,708982886649,Savings,INR,2605367.69,CLOSED,2018-10-24
ACC0000131,CUST006286,BR0021,550063724878,Current,INR,4855496.88,ACTIVE,2023-11-28
ACC0000132,CUST097855,BR0108,451036729192,Savings,INR,3104114.0,ACTIVE,2014-08-09
ACC0000133,CUST007701,BR0370,147402541508,Current,INR,4879709.31,ACTIVE,2025-08-25
ACC0000134,CUST001605,BR0410,548050921241,Current,INR,4498755.28,DORMANT,2013-12-14
ACC0000135,CUST089656,BR0164,863605264293,Savings,INR,4203062.49,CLOSED,2019-07-21
ACC0000136,CUST072588,BR0443,736722951232,Savings,INR,3004669.11,DORMANT,2021-10-17
ACC0000137,CUST048191,BR0320,682650288564,Savings,INR,1791908.27,CLOSED,2026-04-22
ACC0000138,CUST003170,BR0379,609591544509,Current,INR,2084197.52,ACTIVE,2018-12-21
ACC0000139,CUST067596,BR0404,231412277336,Savings,INR,4117034.62,CLOSED,2011-11-19
ACC0000140,CUST016025,BR0416,932578650935,Savings,INR,3205345.66,CLOSED,2016-08-07
ACC0000141,CUST088032,BR0220,635395636255,Savings,INR,676248.37,DORMANT,2020-11-11
ACC0000142,CUST075377,BR0452,658375972358,Current,INR,575906.78,DORMANT,2021-12-25
ACC0000143,CUST014963,BR0416,463230572773,Savings,INR,1149048.31,CLOSED,2018-05-28
ACC0000144,CUST026050,BR0093,544740366152,Savings,INR,755469.27,DORMANT,2015-04-20
ACC0000145,CUST044522,BR0449,309349648851,Savings,INR,4140762.41,ACTIVE,2021-07-24
ACC0000146,CUST052987,BR0467,848451426751,Current,INR,1771967.24,ACTIVE,2018-08-11
ACC0000147,CUST010789,BR0484,769220678009,Current,INR,1590383.02,CLOSED,2017-06-11
ACC0000148,CUST075630,BR0149,343710658939,Savings,INR,2430415.22,ACTIVE,2016-09-11
ACC0000149,CUST020967,BR0098,967551744384,Savings,INR,793316.26,CLOSED,2017-07-31
ACC0000150,CUST079337,BR0277,754416024289,Savings,INR,1273375.78,DORMANT,2016-04-14
ACC0000151,CUST019292,BR0387,193813567462,Savings,INR,4825360.89,CLOSED,2026-03-12
ACC0000152,CUST065861,BR0374,540106996888,Current,INR,3376177.63,DORMANT,2012-08-07
ACC0000153,CUST089792,BR0342,577011489282,Current,INR,2965733.96,DORMANT,2016-04-13
ACC0000154,CUST065166,BR0408,400832102598,Current,INR,3335268.44,DORMANT,2020-02-29
ACC0000155,CUST053556,BR0243,361548919227,Current,INR,4027252.88,ACTIVE,2015-12-19
ACC0000156,CUST020402,BR0362,108912138962,Current,INR,3387390.83,DORMANT,2015-09-20
ACC0000157,CUST051106,BR0227,550027854077,Savings,INR,2135722.33,DORMANT,2018-01-20
ACC0000158,CUST060542,BR0460,498912217843,Savings,INR,3165514.81,CLOSED,2025-08-07
ACC0000159,CUST018379,BR0090,125167723669,Savings,INR,2569830.52,ACTIVE,2020-07-30
ACC0000160,CUST004986,BR0367,100240073808,Current,INR,2564145.91,DORMANT,2025-01-03
ACC0000161,CUST054960,BR0476,361777255588,Savings,INR,4595797.63,ACTIVE,2011-09-20
ACC0000162,CUST074447,BR0322,508624173226,Savings,INR,3792614.44,ACTIVE,2019-06-19
ACC0000163,CUST066279,BR0095,972710328892,Savings,INR,1170313.86,ACTIVE,2023-02-07
ACC0000164,CUST080910,BR0341,181649485581,Current,INR,755813.6,CLOSED,2015-05-22
ACC0000165,CUST066567,BR0252,244345972913,Savings,INR,4719396.77,CLOSED,2026-03-31
ACC0000166,CUST071162,BR0387,274973369865,Savings,INR,3112627.9,ACTIVE,2014-09-16
ACC0000167,CUST000696,BR0247,985251768376,Savings,INR,2824083.08,ACTIVE,2018-01-29
ACC0000168,CUST021280,BR0053,262553522990,Current,INR,1413295.33,CLOSED,2026-03-04
ACC0000169,CUST015058,BR0280,996025565153,Savings,INR,4717132.68,ACTIVE,2025-11-29
ACC0000170,CUST012716,BR0465,599986809712,Savings,INR,1754575.38,DORMANT,2022-03-01
ACC0000171,CUST055306,BR0422,876768666199,Current,INR,2753372.16,ACTIVE,2018-03-15
ACC0000172,CUST070197,BR0432,741684419595,Savings,INR,4906838.26,DORMANT,2023-02-13
ACC0000173,CUST024197,BR0033,785445645025,Current,INR,3669061.27,DORMANT,2025-09-14
ACC0000174,CUST097728,BR0166,142929634185,Savings,INR,3798389.91,CLOSED,2020-07-24
ACC0000175,CUST048299,BR0202,704127153394,Savings,INR,3911633.34,ACTIVE,2014-03-15
ACC0000176,CUST028230,BR0471,795898202321,Current,INR,4730900.59,DORMANT,2015-09-26
ACC0000177,CUST035209,BR0315,574999909240,Current,INR,4799352.27,DORMANT,2021-10-30
ACC0000178,CUST084067,BR0397,501151232610,Current,INR,3764470.1,ACTIVE,2023-09-06
ACC0000179,CUST071575,BR0153,368025777112,Current,INR,391763.32,DORMANT,2020-11-20
ACC0000180,CUST012157,BR0251,642380848861,Savings,INR,2350216.91,DORMANT,2018-05-29
ACC0000181,CUST081517,BR0115,282556479798,Current,INR,1367630.49,CLOSED,2021-05-21
ACC0000182,CUST047551,BR0203,616961629517,Savings,INR,718410.85,DORMANT,2025-02-18
ACC0000183,CUST051292,BR0392,187143506381,Current,INR,1330501.28,DORMANT,2021-03-16
ACC0000184,CUST049338,BR0244,171053561676,Savings,INR,3345186.42,ACTIVE,2019-11-20
ACC0000185,CUST072420,BR0329,704921641234,Savings,INR,3918278.09,CLOSED,2013-07-28
ACC0000186,CUST064478,BR0197,477344326842,Savings,INR,4162145.26,DORMANT,2024-08-30
ACC0000187,CUST025014,BR0490,851901795236,Current,INR,1881132.82,ACTIVE,2019-07-09
ACC0000188,CUST058894,BR0404,579765120944,Savings,INR,3064200.45,ACTIVE,2021-04-08
ACC0000189,CUST033298,BR0096,899252774418,Current,INR,1875531.9,CLOSED,2021-08-18
ACC0000190,CUST090432,BR0279,207758853178,Current,INR,2467040.74,ACTIVE,2022-03-17
ACC0000191,CUST067759,BR0297,479503766969,Savings,INR,2030227.81,ACTIVE,2020-11-18
ACC0000192,CUST047475,BR0305,870267479900,Savings,INR,376650.06,CLOSED,2015-09-17
ACC0000193,CUST068536,BR0294,143033561298,Savings,INR,3249754.17,DORMANT,2023-11-17
ACC0000194,CUST066438,BR0204,359960899645,Savings,INR,2955537.32,ACTIVE,2026-04-27
ACC0000195,CUST025374,BR0177,223777690787,Current,INR,81310.89,ACTIVE,2022-03-29
ACC0000196,CUST036630,BR0412,675651879461,Current,INR,4902675.16,DORMANT,2018-03-10
ACC0000197,CUST011858,BR0481,141079905317,Current,INR,3224494.1,ACTIVE,2018-02-16
ACC0000198,CUST003512,BR0119,612041770881,Current,INR,2624102.62,CLOSED,2017-01-01
ACC0000199,CUST079558,BR0234,368916931766,Current,INR,3308769.41,CLOSED,2022-07-28
ACC0000200,CUST073375,BR0142,381247473927,Savings,INR,2193192.84,DORMANT,2016-10-08
ACC0000201,CUST079584,BR0413,502355210516,Savings,INR,1710041.24,CLOSED,2018-12-16
ACC0000202,CUST094054,BR0211,135499196580,Current,INR,2207339.24,ACTIVE,2021-10-30
ACC0000203,CUST060400,BR0203,114499806155,Savings,INR,1577658.3,CLOSED,2020-03-28
ACC0000204,CUST048739,BR0164,250621024135,Savings,INR,2534561.98,ACTIVE,2014-06-07
ACC0000205,CUST085002,BR0440,583731098903,Current,INR,2182675.56,ACTIVE,2024-04-08
ACC0000206,CUST080656,BR0143,756760960934,Savings,INR,2270996.42,DORMANT,2011-10-24
ACC0000207,CUST040105,BR0232,146194594742,Current,INR,218311.22,CLOSED,2013-12-01
ACC0000208,CUST090510,BR0426,671376456799,Savings,INR,1759924.05,CLOSED,2011-07-31
ACC0000209,CUST034972,BR0049,379398524034,Current,INR,2039259.92,ACTIVE,2021-03-10
ACC0000210,CUST074421,BR0288,121144704285,Current,INR,954203.79,ACTIVE,2018-08-08
ACC0000211,CUST064875,BR0338,624605845916,Current,INR,884476.24,DORMANT,2020-04-05
ACC0000212,CUST017486,BR0223,862789471148,Current,INR,2386754.33,ACTIVE,2015-08-03
ACC0000213,CUST067440,BR0435,605212448798,Savings,INR,81113.83,ACTIVE,2019-07-27
ACC0000214,CUST057654,BR0028,739397105158,Current,INR,4784288.75,DORMANT,2016-01-26
ACC0000215,CUST082453,BR0266,866236613337,Current,INR,547246.15,DORMANT,2025-10-09
ACC0000216,CUST044452,BR0420,711627512914,Savings,INR,4091045.73,DORMANT,2025-04-05
ACC0000217,CUST025708,BR0036,693613805174,Current,INR,3776848.37,CLOSED,2016-06-08
ACC0000218,CUST009371,BR0100,388268929307,Current,INR,2282852.36,DORMANT,2018-03-22
ACC0000219,CUST037746,BR0463,128760633751,Current,INR,3505077.86,ACTIVE,2020-03-17
ACC0000220,CUST064028,BR0387,769700844127,Current,INR,140207.43,ACTIVE,2015-12-02
ACC0000221,CUST030910,BR0098,968724911535,Current,INR,4453177.1,DORMANT,2014-07-18
ACC0000222,CUST073283,BR0313,457426855743,Savings,INR,2874425.47,ACTIVE,2012-12-23
ACC0000223,CUST076132,BR0141,104790457843,Savings,INR,2745376.82,DORMANT,2024-01-11
ACC0000224,CUST023371,BR0018,762054335524,Savings,INR,2123534.15,CLOSED,2012-08-28
ACC0000225,CUST077998,BR0220,700278585562,Current,INR,2254575.08,CLOSED,2015-10-26
ACC0000226,CUST013413,BR0404,134761428313,Current,INR,529126.52,CLOSED,2012-02-07
ACC0000227,CUST093671,BR0218,252808815427,Current,INR,571137.62,ACTIVE,2018-08-04
ACC0000228,CUST049504,BR0158,531702200771,Savings,INR,3869841.53,DORMANT,2017-01-30
ACC0000229,CUST037512,BR0424,986097292059,Savings,INR,3322655.72,ACTIVE,2013-07-31
ACC0000230,CUST067206,BR0326,499205141543,Current,INR,603350.58,ACTIVE,2025-05-07
ACC0000231,CUST038477,BR0270,417070984508,Savings,INR,428836.9,DORMANT,2017-03-08
ACC0000232,CUST095314,BR0465,941203660595,Current,INR,1991304.63,ACTIVE,2013-09-10
ACC0000233,CUST074894,BR0130,111674539928,Current,INR,4145585.81,DORMANT,2020-10-29
ACC0000234,CUST083594,BR0418,588724616611,Current,INR,3616246.76,DORMANT,2011-09-29
ACC0000235,CUST098040,BR0068,246985839905,Current,INR,2213164.99,ACTIVE,2015-01-11
ACC0000236,CUST081646,BR0380,444329156732,Savings,INR,3267783.68,ACTIVE,2019-06-11
ACC0000237,CUST021959,BR0093,628914161640,Savings,INR,4438933.84,ACTIVE,2017-02-04
ACC0000238,CUST070966,BR0283,291325670328,Savings,INR,1016639.02,ACTIVE,2026-07-14
ACC0000239,CUST029232,BR0273,685261719495,Current,INR,1441552.13,CLOSED,2018-05-30
ACC0000240,CUST062821,BR0402,168769770477,Savings,INR,3713258.17,DORMANT,2019-09-28
ACC0000241,CUST028994,BR0301,481148447841,Savings,INR,4012404.09,CLOSED,2015-01-01
ACC0000242,CUST076467,BR0439,105043445008,Savings,INR,4848966.95,ACTIVE,2020-05-18
ACC0000243,CUST050868,BR0304,190476279562,Savings,INR,2615505.32,CLOSED,2026-06-16
ACC0000244,CUST076203,BR0459,499382481782,Current,INR,2236715.44,DORMANT,2019-05-16
ACC0000245,CUST094584,BR0073,924589789864,Savings,INR,2668732.98,DORMANT,2017-07-30
ACC0000246,CUST081873,BR0138,843671940172,Current,INR,3559910.32,DORMANT,2011-08-12
ACC0000247,CUST031012,BR0031,275672315875,Savings,INR,4070082.29,DORMANT,2020-11-08
ACC0000248,CUST039327,BR0346,423209889273,Current,INR,4577602.63,ACTIVE,2017-02-09
ACC0000249,CUST069669,BR0315,159428686822,Current,INR,2566888.79,DORMANT,2012-06-11
ACC0000250,CUST096243,BR0212,949105921531,Current,INR,4163827.12,ACTIVE,2018-10-03
ACC0000251,CUST020975,BR0431,746128426162,Current,INR,3715652.67,ACTIVE,2021-01-10
ACC0000252,CUST075751,BR0488,841287810062,Savings,INR,594644.73,CLOSED,2016-12-13
ACC0000253,CUST041190,BR0322,322393982417,Current,INR,3368492.01,CLOSED,2023-03-28
ACC0000254,CUST011342,BR0341,257114098668,Savings,INR,4823919.09,DORMANT,2021-09-12
ACC0000255,CUST000188,BR0354,658624549687,Savings,INR,3395248.31,DORMANT,2023-12-13
ACC0000256,CUST033098,BR0266,507984633408,Savings,INR,4216011.4,ACTIVE,2023-09-03
ACC0000257,CUST067091,BR0299,392005626273,Current,INR,1286557.71,ACTIVE,2025-02-06
ACC0000258,CUST043511,BR0344,222683988040,Current,INR,1289560.11,DORMANT,2015-03-21
ACC0000259,CUST067359,BR0149,626428148027,Savings,INR,4513399.23,CLOSED,2016-08-20
ACC0000260,CUST001380,BR0147,881643766483,Savings,INR,3016329.92,CLOSED,2022-04-12
ACC0000261,CUST076989,BR0466,938347697842,Savings,INR,3374521.34,CLOSED,2016-02-04
ACC0000262,CUST082771,BR0072,270391675108,Current,INR,717814.0,DORMANT,2026-04-28
ACC0000263,CUST002257,BR0335,962714565626,Savings,INR,1083664.94,ACTIVE,2025-08-14
ACC0000264,CUST079861,BR0037,223033898357,Current,INR,4661362.6,CLOSED,2016-04-25
ACC0000265,CUST068671,BR0030,983059427708,Current,INR,2439673.26,DORMANT,2015-05-29
ACC0000266,CUST016454,BR0263,752531488619,Savings,INR,2942759.36,DORMANT,2016-01-27
ACC0000267,CUST088180,BR0344,686844313850,Savings,INR,4825807.64,DORMANT,2025-11-29
ACC0000268,CUST010457,BR0250,750909245829,Current,INR,2289117.75,DORMANT,2012-03-21
ACC0000269,CUST032366,BR0396,635378790609,Current,INR,2508324.76,DORMANT,2013-03-07
ACC0000270,CUST043737,BR0347,877304620222,Savings,INR,3224713.72,DORMANT,2013-11-04
ACC0000271,CUST034809,BR0201,150386751152,Current,INR,1696312.5,ACTIVE,2022-01-15
ACC0000272,CUST023544,BR0080,313732056875,Savings,INR,3058047.89,ACTIVE,2014-05-30
ACC0000273,CUST085115,BR0363,134906779419,Current,INR,2177292.03,CLOSED,2018-08-17
ACC0000274,CUST018328,BR0473,522083424962,Current,INR,411030.77,ACTIVE,2023-08-01
ACC0000275,CUST063416,BR0424,927063582430,Savings,INR,867756.53,DORMANT,2023-02-17
ACC0000276,CUST096532,BR0184,885675110275,Savings,INR,2421680.18,CLOSED,2014-04-12
ACC0000277,CUST072134,BR0234,489094035749,Current,INR,1642868.96,ACTIVE,2021-04-10
ACC0000278,CUST074038,BR0434,637247173219,Current,INR,255199.42,DORMANT,2022-11-18
ACC0000279,CUST061880,BR0055,657234524083,Savings,INR,4983376.01,DORMANT,2015-11-24
ACC0000280,CUST028913,BR0339,648278417340,Current,INR,1019675.03,DORMANT,2012-06-18
ACC0000281,CUST097405,BR0165,679052314199,Savings,INR,3571317.92,CLOSED,2021-04-30
ACC0000282,CUST030100,BR0341,472905018553,Current,INR,4397412.02,CLOSED,2025-06-28
ACC0000283,CUST033617,BR0174,154705882716,Savings,INR,3306777.12,DORMANT,2014-11-21
ACC0000284,CUST038010,BR0094,485627840923,Savings,INR,2452532.51,DORMANT,2021-12-29
ACC0000285,CUST037972,BR0499,733049117937,Savings,INR,2979037.96,DORMANT,2017-12-31
ACC0000286,CUST049621,BR0413,245357045503,Savings,INR,104740.13,DORMANT,2020-09-02
